"Stock","News_Count","Trend_Score"
"Bitcoin",200,56.396915822888
"oil",104,53.3528138528139
"Apple",198,50.6853558022548
"Reliance",103,41.1083333333333
"Microsoft",102,40.6985320236872
"TATA",100,39.2933473389356
"Amazon",100,38.7935024186622
"Google",102,38.0297977384934
"Tesla",97,35.7629894128086
"Meta",98,35.2194506896503
"Anthropic",99,34.5226987340145
"Nvidia",77,33.8978014091172
"Ethereum",96,32.3963403763479
"SBI",199,28.0650439431369
"Adani",101,27.1876121548702
"TSLA",200,26.9237110992509
"Robinhood",99,26.6841665753911
"Solana",99,26.4992465035794
"Coinbase",194,25.9310765388583
"Infosys",177,24.1275522650526
"TCS",91,22.1569438570708
"Wipro",97,22.0182197008647
"HDFC Bank",94,21.3970926872907
"AMD",96,20.6277354749254
"AAPL",100,16.6808673602373
"Tata Motors",64,16.5541946261641
"Redmi",100,9.23068561936446
"ICICI Bank",194,8.12454175640445
"Tech Mahindra",98,3.19722241942882
"HCL Tech",98,3.13277412014615
